statistics,Query3W,Query7aW,Query7bW,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19aW,Query19bW,Query19cW,Query20W
rkRelationSize,3241776,1,1,25,6001215,1478870,800000,30988,75983,1,29581,6001215,47244,46782,47267,4397
totalTuplesRemoved,3791436,3298686,3300507,6539360,5681811,1364165,777924,0,0,0,0,6000816,47219,46742,47211,4199
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,61040,10792,10461,12778,1597025,344118,63362,30989,75984,2,29582,800,26,41,57,199
totalIntermediateResultsProducedWithoutNULL,61038,10787,10456,12771,1597020,344115,63360,30988,75983,1,29581,798,25,40,56,198
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,207787,189766,187945,80620,2640093,321799,32077,1530988,275983,10001,829261,150456,113,199,294,199
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,861,1040,1096,1475,7159,687,320,510,250,253,223,979,160,169,182,367
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,302996664,296941568,300409344,714716936,2831897280,408594472,212720384,728305680,369522120,46937320,354860368,154160504,28015376,32117408,32117112,32371424
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfHashTableProbe,4030119,3499238,3498907,6674972,14248258,2030054,873360,61976,151966,2,59162,6002070,47269,46822,47323,4595
numberOfHashTableProbeWithinFullReducer,3969081,3488451,3488451,6662201,12651238,1685939,810000,30988,75983,1,29581,6001272,47244,46782,47267,4397
