statistics,Query3W,Query7aW,Query7bW,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19aW,Query19bW,Query19cW,Query20W
rkRelationSize,727305,150000,150000,6001215,6001215,1478870,10000,1500000,200000,10000,799680,150000,47244,46782,47267,4397
totalTuplesRemoved,3948441,3480277,3480510,6609278,7651832,1484239,777924,1470901,136888,9998,681406,6150759,47286,46867,47401,4199
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,23242,12748,12395,18228,1597025,344118,794,29100,63113,2,118275,116,26,41,57,199
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,50782,8175,7942,10702,670072,201725,32077,60087,139095,2,147855,513,46,74,104,199
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,1835,1229,1284,2081,4548,1060,551,649,405,355,438,3355,173,135,125,511
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,1383196640,717652472,590166960,1766999008,1820485632,451917408,517879296,564265344,492849216,31101032,105585584,3646593152,86066160,88218704,119836864,39255352
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
