statistics,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
rkRelationSize,785623,327915,164092,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173
totalTuplesRemoved,666888,323664,163622,5954808,5990255,5999675,5753996,5992494,6000834,6001168,5910467,5979333,6001074
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,118736,4252,471,138759,32416,4224,741178,25967,1020,18,362477,87312,400
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,119100,4282,477,57371,15506,4645,255869,12207,2770,275,179353,108660,10205
bloomFiltersProbingTime,54,37,31,497,513,518,477,446,466,312,536,341,366
buildBloomFiltersTime,12,3,2,27,39,23,28,31,16,22,47,45,37
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,460811272,117288000,74940496,418579424,728254240,668365856,447352752,497629160,404099136,394971408,343242288,376407648,59550496
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0
