statistics,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
rkRelationSize,785623,327915,164092,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173
totalTuplesRemoved,666888,323664,163622,5955147,5990596,5999951,5754352,5992567,6000834,6001168,5910820,5979370,6001074
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,118736,4252,471,138081,31734,3669,740466,25821,1020,18,361416,87216,400
totalIntermediateResultsProducedWithoutNULL,118735,4251,470,138078,31731,3666,740463,25818,1017,15,361412,87212,396
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,119100,4282,477,57032,15165,4369,255513,12134,2770,275,179000,108623,10205
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,449,246,212,7219,7119,7097,7371,6824,6517,1589,2850,2714,1829
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,206306240,262896416,141382024,2122126752,2017875784,1748985856,2223934952,1481670992,1635536200,852351128,389933904,438153360,956236848
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfHashTableProbe,904358,332166,164562,12382665,12081558,12012342,13308257,11717328,11506196,6043313,7871813,7561798,6260139
numberOfHashTableProbeWithinFullReducer,785623,327915,164092,12244587,12049827,12008676,12567794,11691510,11505179,6043298,7510401,7474586,6259743
